LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,-0.611,1.222,-0.611,0,0,-0.611,1.222,-0.611,0
0,-0.608,1.215,-0.608,0,0,-0.608,1.215,-0.608,0
0,-0.572,1.144,-0.572,0,0,-0.572,1.144,-0.572,0
0,-0.543,1.086,-0.543,0,0,-0.543,1.086,-0.543,0
0,-0.525,1.05,-0.525,0,0,-0.525,1.05,-0.525,0
0,-0.525,1.05,-0.525,0,0,-0.525,1.05,-0.525,0
0,-0.525,1.05,-0.525,0,0,-0.525,1.05,-0.525,0
-0.001,-0.525,1.05,-0.525,0.001,-0.001,-0.525,1.05,-0.525,0.001
-0.003,-0.524,1.05,-0.525,0.003,-0.003,-0.524,1.05,-0.525,0.003
-0.004,-0.524,1.05,-0.525,0.004,-0.004,-0.524,1.05,-0.525,0.004
-0.008,-0.524,1.049,-0.526,0.008,-0.008,-0.524,1.049,-0.526,0.008
-0.01,-0.523,1.049,-0.526,0.01,-0.01,-0.523,1.049,-0.526,0.01
-0.014,-0.522,1.049,-0.527,0.014,-0.014,-0.522,1.049,-0.527,0.014
-0.021,-0.521,1.048,-0.527,0.021,-0.021,-0.521,1.048,-0.527,0.021
-0.027,-0.52,1.048,-0.528,0.027,-0.027,-0.52,1.048,-0.528,0.027
-0.034,-0.518,1.047,-0.529,0.034,-0.034,-0.518,1.047,-0.529,0.034
-0.044,-0.516,1.045,-0.53,0.044,-0.044,-0.516,1.045,-0.53,0.044
-0.063,-0.51,1.041,-0.531,0.063,-0.063,-0.51,1.041,-0.531,0.063
-0.08,-0.505,1.036,-0.531,0.08,-0.08,-0.505,1.036,-0.531,0.08
-0.101,-0.498,1.029,-0.531,0.101,-0.101,-0.498,1.029,-0.531,0.101
-0.136,-0.482,1.013,-0.531,0.136,-0.136,-0.482,1.013,-0.531,0.136
-0.157,-0.468,0.999,-0.531,0.157,-0.157,-0.468,0.999,-0.531,0.157
-0.173,-0.454,0.987,-0.533,0.173,-0.174,-0.459,0.996,-0.537,0.174
-0.15,-0.44,0.984,-0.544,0.19,-0.197,-0.52,1.119,-0.599,0.197
-0.144,-0.442,0.999,-0.557,0.196,-0.211,-0.605,1.244,-0.639,0.211
-0.146,-0.452,1.033,-0.582,0.198,-0.223,-0.743,1.374,-0.631,0.223
-0.142,-0.454,1.051,-0.597,0.195,-0.219,-0.803,1.378,-0.575,0.219
-0.134,-0.447,1.056,-0.609,0.187,-0.205,-0.815,1.313,-0.498,0.205
-0.121,-0.427,1.045,-0.618,0.174,-0.184,-0.777,1.202,-0.425,0.184
-0.128,-0.379,1.011,-0.632,0.145,-0.147,-0.678,1.037,-0.36,0.147
-0.119,-0.344,0.99,-0.646,0.119,-0.119,-0.634,1,-0.366,0.119
-0.065,-0.293,0.97,-0.677,0.065,-0.065,-0.604,1.022,-0.417,0.065
-0.019,-0.253,0.948,-0.696,0.019,-0.019,-0.579,1.033,-0.453,0.019